vividseatsID,vividseatsTitle,vividseatsPrice
VIVID - 0,Toronto Blue Jays at Baltimore Orioles,70
VIVID - 1,Texas Rangers at Baltimore Orioles,64
VIVID - 2,Oakland Athletics at Baltimore Orioles,78
VIVID - 3,Minnesota Twins at Baltimore Orioles,58
VIVID - 4,New York Yankees at Baltimore Orioles,65
VIVID - 5,Philadelphia Phillies at Miami Marlins,102
VIVID - 6,New York Mets at Miami Marlins,103
VIVID - 7,Washington Nationals at Miami Marlins,71
VIVID - 8,Houston Astros at Miami Marlins,94
VIVID - 9,Atlanta Braves at Miami Marlins,56
VIVID - 10,Cincinnati Reds at Miami Marlins,120
VIVID - 11,San Diego Padres at Miami Marlins,103
VIVID - 12,Chicago Cubs at Miami Marlins,81
VIVID - 13,Colorado Rockies at Miami Marlins,66
VIVID - 14,Los Angeles Dodgers at Miami Marlins,70
VIVID - 15,Toronto Blue Jays at Miami Marlins,86
VIVID - 16,Tampa Bay Rays at Miami Marlins,47
VIVID - 17,Arizona Diamondbacks at Miami Marlins,80
VIVID - 18,St. Louis Cardinals at Miami Marlins,77
VIVID - 19,Boston Red Sox at Miami Marlins,59
