stubhubID,stubhubTitle,stubhubPrice
STUB - 0,Baltimore Orioles vs Toronto Blue Jays [4/25/2012] Tickets at StubHub!,94
STUB - 1,Baltimore Orioles vs Texas Rangers [5/8/2012] Tickets at StubHub!,52
STUB - 2,Baltimore Orioles vs Toronto Blue Jays [4/24/2012] Tickets at StubHub!,68
STUB - 3,Baltimore Orioles vs Texas Rangers [5/9/2012] Tickets at StubHub!,86
STUB - 4,Baltimore Orioles vs Oakland Athletics [4/27/2012] Tickets at StubHub!,99
STUB - 5,Baltimore Orioles vs Toronto Blue Jays [4/26/2012] Tickets at StubHub!,96
STUB - 6,Baltimore Orioles vs Minnesota Twins [4/7/2012] Tickets at StubHub!,71
STUB - 7,Baltimore Orioles vs Oakland Athletics [4/29/2012] Tickets at StubHub!,65
STUB - 8,Baltimore Orioles vs Minnesota Twins [4/6/2012] Tickets at StubHub!,95
STUB - 9,Baltimore Orioles vs Oakland Athletics [4/28/2012] Tickets at StubHub!,65
STUB - 10,Baltimore Orioles vs New York Yankees [4/9/2012] Tickets at StubHub!,93
STUB - 11,Baltimore Orioles vs Minnesota Twins [4/8/2012] Tickets at StubHub!,58
STUB - 12,Baltimore Orioles vs New York Yankees [4/11/2012] Tickets at StubHub!,51
STUB - 13,Baltimore Orioles vs New York Yankees [4/10/2012] Tickets at StubHub!,50
STUB - 14,Baltimore Orioles vs Texas Rangers [5/7/2012] Tickets at StubHub!,71
STUB - 15,Baltimore Orioles vs Texas Rangers [5/10/2012] Tickets at StubHub!,86
STUB - 16,Miami Marlins vs Philadelphia Phillies [09/29/2012] Tickets at StubHub!,86
STUB - 17,Miami Marlins vs New York Mets [05/11/2012] Tickets at StubHub!,86
STUB - 18,Miami Marlins vs Washington Nationals [08/29/2012] Tickets at StubHub!,60
STUB - 19,Miami Marlins vs New York Mets [10/01/2012] Tickets at StubHub!,79
