vividseatsID,vividseatsTitle,vividseatsPrice
VIVID - 0,Toronto Blue Jays at Baltimore Orioles,70
VIVID - 1,Texas Rangers at Baltimore Orioles,64
VIVID - 4,Oakland Athletics at Baltimore Orioles,78
VIVID - 6,Minnesota Twins at Baltimore Orioles,58
VIVID - 10,New York Yankees at Baltimore Orioles,65
VIVID - 16,Philadelphia Phillies at Miami Marlins,102
VIVID - 17,New York Mets at Miami Marlins,103
VIVID - 18,Washington Nationals at Miami Marlins,71
VIVID - 20,Houston Astros at Miami Marlins,94
VIVID - 21,Atlanta Braves at Miami Marlins,56
VIVID - 22,Cincinnati Reds at Miami Marlins,120
VIVID - 24,San Diego Padres at Miami Marlins,103
VIVID - 25,Chicago Cubs at Miami Marlins,81
VIVID - 27,Colorado Rockies at Miami Marlins,66
VIVID - 32,Los Angeles Dodgers at Miami Marlins,70
VIVID - 34,Toronto Blue Jays at Miami Marlins,86
VIVID - 37,Tampa Bay Rays at Miami Marlins,47
VIVID - 43,Arizona Diamondbacks at Miami Marlins,80
VIVID - 44,St. Louis Cardinals at Miami Marlins,77
VIVID - 48,Boston Red Sox at Miami Marlins,59
